seed,run,split,i,B,K,xi,gamma,C,C_acc_train,C_acc_test,C_gap_acc,C_auroc_train,C_auroc_test,C_gap_auroc,C_auprc_train,C_auprc_test,C_gap_auprc,C_hinge_gap,C_J_w,C_J_xi
43,1,0,0,5,3,1,0.0,31,0.525,0.51,0.015000000000000013,0.5,0.5,0.0,0.525,0.51,0.015000000000000013,0.029999983187585788,8.077935669463161e-28,38.000001120827605
43,1,0,1,5,3,1,0.1,31,0.95,0.7366666666666667,0.21333333333333326,0.9649122807017543,0.8340669601173801,0.13084532058437415,0.9599337880574059,0.8579588160815848,0.10197497197582117,0.27339727156588056,213.0252665893376,15.406197603000757
43,1,0,2,5,3,1,0.2,31,0.9,0.8033333333333333,0.09666666666666668,0.9749373433583959,0.8956916099773243,0.07924573338107155,0.9764085831036294,0.9101083780777448,0.06630020502588463,0.25891038700203234,153.30711088561097,10.169749555867506
43,1,0,3,5,3,1,0.3,31,0.925,0.8233333333333334,0.10166666666666668,0.9749373433583959,0.902094171001734,0.07284317235666193,0.9775025977846007,0.9157943522775016,0.06170824550709908,0.2565243593692316,107.81899227163845,9.051387773938295
43,1,0,4,5,3,1,0.4,31,0.925,0.82,0.1050000000000001,0.9899749373433584,0.8908896892090169,0.0990852481343415,0.9906807060942399,0.9067352416137335,0.08394546448050633,0.28092520566154977,114.15679729414623,7.5155630420407675
43,1,0,5,5,3,1,0.5,31,0.925,0.8133333333333334,0.11166666666666669,0.9899749373433584,0.889911520163621,0.10006341717973743,0.9906807060942399,0.9059400603109271,0.08474064578331275,0.28664721293287476,97.45198839631668,7.179182316846119
43,1,0,6,5,3,1,0.6,31,0.925,0.8133333333333334,0.11166666666666669,0.9899749373433584,0.8855097594593393,0.1044651778840191,0.9906807060942399,0.9008742278777906,0.08980647821644927,0.302621156809741,97.29902465453989,6.600585092987062
43,1,0,7,5,3,1,0.7,31,0.925,0.8,0.125,0.9924812030075189,0.8811524609843937,0.11132874202312515,0.9931869717584003,0.8956932895942562,0.09749368216414411,0.31805253422688856,92.93158723713647,6.286856879110179
43,1,0,8,5,3,1,0.8,31,0.95,0.7966666666666666,0.15333333333333332,0.9924812030075189,0.8761726912987418,0.1163085117087771,0.9931869717584003,0.8897141104358031,0.10347286132259725,0.3353678918183385,90.49172439001686,6.019185200187888
43,1,0,9,5,3,1,0.9,31,0.95,0.79,0.15999999999999992,0.9949874686716793,0.870303677026366,0.12468379164531329,0.9955679241393527,0.8825092172223409,0.11305870691701181,0.3526213728003887,88.0033689063148,5.816341831868746
43,1,0,10,5,3,1,1.0,31,0.95,0.7866666666666666,0.16333333333333333,0.9949874686716793,0.862834022497888,0.13215344617379132,0.9955679241393527,0.8722389256072054,0.1233289985321473,0.3728502791396045,87.97010186135185,5.574034298337354
43,1,0,11,5,3,1,1.1,31,0.95,0.7733333333333333,0.17666666666666664,0.9949874686716793,0.8567426970788315,0.13824477159284776,0.9955679241393527,0.8637480116302413,0.1318199125091114,0.38964628818921077,88.0106286108314,5.349833659580462
43,1,0,12,5,3,1,1.2,31,0.95,0.7766666666666666,0.17333333333333334,0.9949874686716793,0.8570094704548485,0.13797799821683077,0.9955679241393527,0.8634109386819808,0.13215698545737187,0.3908775242241379,84.52687776913965,5.266306788594908
43,1,0,13,5,3,1,1.3,31,0.95,0.7766666666666666,0.17333333333333334,0.9949874686716793,0.858343337334934,0.13664413133674536,0.9955679241393527,0.8629796239695524,0.13258830016980028,0.3903283035602342,81.5841454485279,5.190112961999107
43,1,0,14,5,3,1,1.4,31,0.95,0.7733333333333333,0.17666666666666664,0.9949874686716793,0.8582988751055978,0.13668859356608154,0.9955679241393527,0.8611064936550107,0.134461430484342,0.3969142578598702,80.86965702207644,5.055604157156752
43,1,0,15,5,3,1,1.5,31,0.95,0.77,0.17999999999999994,0.9974937343358397,0.855853452492108,0.14164028184373167,0.9978354978354979,0.8574820767292191,0.1403534211062788,0.41176386788515135,83.55365337082108,4.812003325044573
43,1,0,16,5,3,1,1.6,31,0.95,0.77,0.17999999999999994,0.9974937343358397,0.8505179849717664,0.1469757493640732,0.9978354978354979,0.8518220010670451,0.14601349676845277,0.4293227807911871,86.40738896564054,4.558233375381853
43,1,0,17,5,3,1,1.7,31,0.975,0.77,0.20499999999999996,0.9974937343358397,0.8463385354141656,0.15115519892167406,0.9978354978354979,0.847679382200176,0.15015611563532183,0.4437474616816796,88.05398213134582,4.34571058505328
43,1,0,18,5,3,1,1.8,31,0.975,0.77,0.20499999999999996,1.0,0.8422924725445734,0.1577075274554266,1.0,0.8447666918498522,0.1552333081501478,0.4599337781953423,90.53563674435966,4.107359810115225
43,1,0,19,5,3,1,1.9,31,0.975,0.7533333333333333,0.22166666666666668,1.0,0.8367791561068872,0.16322084389311275,1.0,0.8390130475053978,0.16098695249460215,0.4820344011650621,93.69632834778356,3.843993171235825
43,1,0,20,5,3,1,2.0,31,0.95,0.7466666666666667,0.20333333333333325,1.0,0.8284647192210218,0.17153528077897817,1.0,0.828374207165097,0.17162579283490298,0.5122099377163932,97.39145701007163,3.5580301462097728
43,1,0,21,5,3,1,2.1,31,0.95,0.7366666666666667,0.21333333333333326,1.0,0.8198835089591393,0.1801164910408607,1.0,0.8199948309924624,0.1800051690075376,0.5448716096680061,101.49043507785584,3.252409283140856
