run,i,B,K,xi,gamma,C,C_acc_train,C_acc_test,C_gap_acc,C_auroc_train,C_auroc_test,C_gap_auroc,C_auprc_train,C_auprc_test,C_gap_auprc,C_hinge_gap,C_J_w,C_J_xi,Q_acc_test_max,Q_auroc_test_max,Q_auprc_test_max,Q_acc_train_max,Q_auroc_train_max,Q_auprc_train_max,Q_gap_acc_max,Q_gap_auroc_max,Q_gap_auprc_max,Q_hinge_gap_min,Q_J_w_max,Q_J_w_min,Q_J_w_mean,Q_J_xi_max,Q_J_xi_min,Q_J_xi_mean
1,0,5,3,1,0.0,31,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,-1.0097419586828951e-28,50.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.05,50.0,50.0,50.0
1,1,5,3,1,0.1,31,0.84,0.7666666666666667,0.07333333333333325,0.9344,0.8661333333333333,0.0682666666666667,0.9404859519565403,0.848163110503393,0.09232284145314729,0.11704885812190402,228.38105741405118,23.19621495493452,0.7466666666666667,0.8878222222222222,0.8837014273513628,0.86,0.9408,0.9475569265042949,0.16000000000000003,0.16924444444444442,0.17835724220309113,0.09777267663211764,223.08319008712064,113.93369030552012,173.81625609850173,71.68159408234249,25.611557187409872,32.10282359148044
1,2,5,3,1,0.2,31,0.88,0.8066666666666666,0.07333333333333336,0.9488000000000001,0.8922666666666667,0.056533333333333435,0.9513585296529239,0.8685758333167728,0.0827826963361511,0.12509523898395275,175.18249314917824,17.29259799480108,0.8666666666666667,0.9244444444444444,0.9020440288931961,0.92,0.9648,0.9685865486257226,0.16000000000000003,0.14346666666666652,0.15299724864040765,0.0740091874564196,267.5122915135859,120.77497547885346,203.43352322511583,30.30543483570249,18.133183452430806,21.13797192150433
1,3,5,3,1,0.3,31,0.88,0.8066666666666666,0.07333333333333336,0.9648,0.8981333333333335,0.06666666666666654,0.9649868006606398,0.8766116205431189,0.08837518011752088,0.14051579389435848,145.98951634135295,15.404328543836913,0.8466666666666667,0.9171555555555555,0.8946258692702795,0.88,0.9536,0.9563133738459086,0.16000000000000003,0.17919999999999991,0.23464762730780697,0.134035554118472,363.9243313398715,189.4619550978573,286.1975783301085,32.309980443723255,14.481695260385585,21.150377139268947
1,4,5,3,1,0.4,31,0.9,0.8133333333333334,0.08666666666666667,0.9712000000000001,0.8917333333333334,0.07946666666666669,0.9659035310317179,0.8722865664318659,0.09361696459985203,0.18489741895697243,156.10066059701515,13.327616246321597,0.8533333333333334,0.9139555555555555,0.890403323860147,0.92,0.9696,0.9690557347419863,0.19333333333333336,0.13439999999999996,0.1580330864332632,0.15269697568686402,411.91907047287475,222.59874863294672,305.9849091281581,28.98652424911161,13.330530955834382,18.672858594623243
1,5,5,3,1,0.5,31,0.9,0.82,0.08000000000000007,0.9696,0.8942222222222224,0.07537777777777765,0.9643093281331672,0.8747770010911495,0.08953232704201763,0.1837385832775913,128.23843792865944,12.977071320186983,0.8466666666666667,0.9061333333333333,0.891147607708669,0.9,0.968,0.9645195592813294,0.17333333333333334,0.18488888888888888,0.23124749936198696,0.3072037725703457,460.25648522849224,200.7760001179258,340.87539487511447,36.30892762036525,11.548462319881313,20.155915179901722
1,6,5,3,1,0.6,31,0.9,0.82,0.08000000000000007,0.9744,0.8986666666666667,0.07573333333333332,0.9701281952563822,0.8769713839522585,0.09315681130412368,0.20173444796027318,131.01376981894327,11.628934726106454,0.82,0.9091555555555556,0.9048516269732467,0.94,0.9792,0.9778136150653314,0.17333333333333334,0.16746666666666654,0.22022604213543917,0.30668385492376476,495.0803965959368,259.52440588306206,388.99807608350784,39.91876902217743,10.22784076853547,20.09049339287841
1,7,5,3,1,0.7,31,0.94,0.8133333333333334,0.1266666666666666,0.9808,0.8967111111111111,0.08408888888888888,0.9758857044138913,0.8731112141568141,0.10277449025707719,0.22268819345745533,129.09856402549678,10.80975391995792,0.8333333333333334,0.9187555555555555,0.9090242505518734,0.92,0.9743999999999999,0.9699691319309021,0.15333333333333332,0.1777777777777777,0.22946906937984168,0.39300636988670457,459.2443445001494,202.91986986579073,360.3959295673877,46.373344351072724,11.291728009051692,21.4367188222062
1,8,5,3,1,0.8,31,0.94,0.8,0.1399999999999999,0.9792,0.8864000000000001,0.09279999999999988,0.9730285615567484,0.8541816915999213,0.11884686995682714,0.2673566961828829,132.7749073934835,9.832595053952126,0.82,0.8999111111111111,0.8963279716722335,0.92,0.9807999999999999,0.9801718315614789,0.18666666666666665,0.13671111111111112,0.1967094162089954,0.41255654656586616,501.6422954208948,235.83924207295178,374.43437243742926,28.91323331452641,9.842930933392042,18.86192072688072
1,9,5,3,1,0.9,31,0.94,0.8,0.1399999999999999,0.9792,0.8830222222222223,0.0961777777777777,0.9730285615567484,0.8490021331204723,0.12402642843627609,0.2793313853381394,128.42888161940573,9.66319555756844,0.8333333333333334,0.9013333333333333,0.8661936517408707,0.94,0.9792,0.9768281952563822,0.16666666666666663,0.19217777777777767,0.27324411921065395,0.4189655939730038,499.0665062975151,279.338416119339,405.7263060359909,28.922872285850964,9.863519727784919,16.654592685030085
