seed,run,i,B,K,xi,gamma,C,C_acc_train,C_acc_test,C_gap_acc,C_auroc_train,C_auroc_test,C_gap_auroc,C_auprc_train,C_auprc_test,C_gap_auprc,C_hinge_gap,C_J_w,C_J_xi,Q_acc_test_max,Q_auroc_test_max,Q_auprc_test_max,Q_acc_train_max,Q_auroc_train_max,Q_auprc_train_max,Q_gap_acc_max,Q_gap_auroc_max,Q_gap_auprc_max,Q_hinge_gap_min,Q_J_w_max,Q_J_w_min,Q_J_w_mean,Q_J_xi_max,Q_J_xi_min,Q_J_xi_mean,alpha_npz_path,Q_topk
44,1,0,5,3,1,0.0,31,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,-1.0097419586828951e-28,50.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.075,50.0,50.0,50.0,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx00_g0.00_B5_K3_xi1_C31.npz,20
44,1,1,5,3,1,0.1,31,0.84,0.7666666666666667,0.07333333333333325,0.9344,0.8661333333333333,0.0682666666666667,0.9404859519565403,0.848163110503393,0.09232284145314729,0.11704885812190402,228.38105741405118,23.19621495493452,0.7466666666666667,0.8627555555555555,0.8428818254286673,0.82,0.9344,0.941393888017727,0.15333333333333332,0.16160000000000008,0.20350253624661696,0.13831131927543844,254.62274525353587,137.36403204393923,190.3831610923112,50.82670211792696,24.150092623851613,29.559682789923166,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx01_g0.10_B5_K3_xi1_C31.npz,20
44,1,2,5,3,1,0.2,31,0.88,0.8066666666666666,0.07333333333333336,0.9488000000000001,0.8922666666666667,0.056533333333333435,0.9513585296529239,0.8685758333167728,0.0827826963361511,0.12509523898395275,175.18249314917824,17.29259799480108,0.8133333333333334,0.9061333333333333,0.8792347095421931,0.9,0.9584,0.9621931998286573,0.1466666666666666,0.1392000000000001,0.18309997049772098,0.1264682427731052,304.2662881047013,155.5691181721482,230.47317151557849,29.814035943941235,17.151119666998262,21.011901905877387,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx02_g0.20_B5_K3_xi1_C31.npz,20
44,1,3,5,3,1,0.3,31,0.88,0.8066666666666666,0.07333333333333336,0.9648,0.8981333333333335,0.06666666666666654,0.9649868006606398,0.8766116205431189,0.08837518011752088,0.14051579389435848,145.98951634135295,15.404328543836913,0.88,0.9281777777777778,0.8963497039824341,0.9,0.9632,0.9688562140286279,0.17999999999999994,0.16195555555555563,0.17908966348196131,0.1656164489021998,369.00119389214836,158.88715194858975,270.336607620277,27.79542094258506,13.574661190959674,19.919985067963115,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx03_g0.30_B5_K3_xi1_C31.npz,20
44,1,4,5,3,1,0.4,31,0.9,0.8133333333333334,0.08666666666666667,0.9712000000000001,0.8917333333333334,0.07946666666666669,0.9659035310317179,0.8722865664318659,0.09361696459985203,0.18489741895697243,156.10066059701515,13.327616246321597,0.8466666666666667,0.9166222222222222,0.901027175263799,0.92,0.9648,0.9641332387419344,0.14,0.15431111111111107,0.22154010993885498,0.23254835073546148,403.76049120845704,217.91372879414837,317.91753740375566,29.860881363809384,12.57221256567519,19.867881030572278,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx04_g0.40_B5_K3_xi1_C31.npz,20
44,1,5,5,3,1,0.5,31,0.9,0.82,0.08000000000000007,0.9696,0.8942222222222224,0.07537777777777765,0.9643093281331672,0.8747770010911495,0.08953232704201763,0.1837385832775913,128.23843792865944,12.977071320186983,0.8666666666666667,0.9235555555555556,0.9085577783310445,0.9,0.9712,0.9701439485000127,0.15999999999999992,0.1413333333333333,0.1824784802910333,0.3351225804885696,455.4256139747714,98.83593245560238,342.71979349802024,42.58488742835001,11.738277383875818,21.02774444807776,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx05_g0.50_B5_K3_xi1_C31.npz,20
44,1,6,5,3,1,0.6,31,0.9,0.82,0.08000000000000007,0.9744,0.8986666666666667,0.07573333333333332,0.9701281952563822,0.8769713839522585,0.09315681130412368,0.20173444796027318,131.01376981894327,11.628934726106454,0.86,0.9182222222222222,0.9073356584864762,0.92,0.968,0.964792336378418,0.14,0.12071111111111121,0.17535855842646708,0.39133168882781727,506.47294341663456,213.87801122121962,360.42468385936206,31.08132207213802,12.06773988712612,18.42648022068397,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx06_g0.60_B5_K3_xi1_C31.npz,20
44,1,7,5,3,1,0.7,31,0.94,0.8133333333333334,0.1266666666666666,0.9808,0.8967111111111111,0.08408888888888888,0.9758857044138913,0.8731112141568141,0.10277449025707719,0.22268819345745533,129.09856402549678,10.80975391995792,0.8666666666666667,0.9292444444444445,0.9103366654938306,0.94,0.976,0.9748488971351486,0.15333333333333332,0.1352888888888888,0.19308505221394812,0.33118729924082413,492.1135326817433,265.1636601103759,386.7215851770504,46.32425152076297,11.28126061211956,19.439318345818755,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx07_g0.70_B5_K3_xi1_C31.npz,20
44,1,8,5,3,1,0.8,31,0.94,0.8,0.1399999999999999,0.9792,0.8864000000000001,0.09279999999999988,0.9730285615567484,0.8541816915999213,0.11884686995682714,0.2673566961828829,132.7749073934835,9.832595053952126,0.8333333333333334,0.9013333333333334,0.8914879169344878,0.92,0.968,0.9699777607235948,0.18666666666666665,0.18257777777777773,0.2472063257227659,0.3765290597969553,468.78314188313874,276.82794475888403,369.5043867337125,53.096117492612095,11.120387507907562,21.797304503382186,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx08_g0.80_B5_K3_xi1_C31.npz,20
44,1,9,5,3,1,0.9,31,0.94,0.8,0.1399999999999999,0.9792,0.8830222222222223,0.0961777777777777,0.9730285615567484,0.8490021331204723,0.12402642843627609,0.2793313853381394,128.42888161940573,9.66319555756844,0.84,0.9109333333333334,0.89799738381137,0.92,0.9824,0.980503887755604,0.14,0.10648888888888886,0.17551841793873424,0.29270160440766646,515.3242485765973,264.7902950257301,373.3193553371334,31.07973324720001,10.522366574691679,19.60091123256918,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx09_g0.90_B5_K3_xi1_C31.npz,20
44,1,10,5,3,1,1.0,31,0.94,0.8,0.1399999999999999,0.9792,0.8856888888888889,0.0935111111111111,0.9730285615567484,0.850738510602184,0.12229005095456447,0.2814507240963103,124.71810226269153,9.457329041394205,0.82,0.8906666666666667,0.8703676693522188,0.94,0.976,0.9782327719675982,0.17999999999999994,0.1539555555555555,0.20082593564923823,0.34520861863745445,485.95337049933653,274.92778194983185,382.3329753514843,32.21472481872766,11.37803029701914,18.772571377386566,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx10_g1.00_B5_K3_xi1_C31.npz,20
